"Probe","gene","FBgn ID","stage/tissue","term"
"RE18093","msl-1","FBcl0213280","","Annotated by Indrani"
"RE18093","msl-1","FBcl0213280","","Annotated by Zhantao"
"RE18093","msl-1","FBcl0213280","","Annotated by Ronit"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cell type - AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Non-particulate - AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic Foci - ED"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cell type - SV"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Distal tip region-TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Testis Cell type and stage - TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Nuclear in muscle cells -TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Pigment cells -TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic in elongating spermatids-TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Early elongating spermatids-TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic in early elongating spermatids"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Adult Tissues"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Male reproductive tissues"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Accessory Gland"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Main cells -AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic-MC"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic-SC"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Multivesicular bodies - SC"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Subcellularly localized - AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic Foci - AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Lumenal - AG"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Ejaculatory Duct"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Subcellularly localized - ED"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic-ED"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cell type - ED"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Seminal Vesicle"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Subcellularly localized - SV"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic-SV"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Cytoplasmic Foci - SV"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Testis"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Expressed in distal tip region - TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Lower expression in tip region"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Subcellularly localized - TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Muscle cells - TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Nuclear in pigment cells -TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Spermatids -TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Elongating Spermatids  - TE"
"RE18093","msl-1","FBcl0213280","Male reproductive tissues","Secondary cells - AG"
"RE18093","msl-1","FBcl0213280","stage 1-3","Ubiquitous"
"RE18093","msl-1","FBcl0213280","stage 1-3","Degraded"
"RE18093","msl-1","FBcl0213280","stage 1-3","Degradation maternal transcripts"
"RE18093","msl-1","FBcl0213280","stage 1-3","Degraded partially stage 3"
"RE18093","msl-1","FBcl0213280","stage 1-3","Expressed"
"RE18093","msl-1","FBcl0213280","stage 1-3","Maternal"
"RE18093","msl-1","FBcl0213280","stage 1-3","Stage 1-3"
"RE18093","msl-1","FBcl0213280","stage 1-3","Strong expression (1-20ms exp)"
"RE18093","msl-1","FBcl0213280","stage 4-5","Weak expression (>41ms exp)"
"RE18093","msl-1","FBcl0213280","stage 4-5","Maternal"
"RE18093","msl-1","FBcl0213280","stage 4-5","Expressed"
"RE18093","msl-1","FBcl0213280","stage 4-5","Stage 4-5"
"RE18093","msl-1","FBcl0213280","stage 4-5","Ubiquitous"
"RE18093","msl-1","FBcl0213280","stage 6-7","Ubiquitous"
"RE18093","msl-1","FBcl0213280","stage 6-7","Expressed"
"RE18093","msl-1","FBcl0213280","stage 6-7","Weak expression (>41ms exp)"
"RE18093","msl-1","FBcl0213280","stage 6-7","Stage 6-7"
"RE18093","msl-1","FBcl0213280","stage 8-9","Ubiquitous"
"RE18093","msl-1","FBcl0213280","stage 8-9","Stage 8-9"
"RE18093","msl-1","FBcl0213280","stage 8-9","Weak expression (>41ms exp)"
"RE18093","msl-1","FBcl0213280","stage 8-9","Expressed"
"RE18093","msl-1","FBcl0213280","stage 10-17","Blastoderm nuclei"
"RE18093","msl-1","FBcl0213280","stage 10-17","Brain"
"RE18093","msl-1","FBcl0213280","stage 10-17","Ectoderm"
"RE18093","msl-1","FBcl0213280","stage 10-17","Zygotic"
"RE18093","msl-1","FBcl0213280","stage 10-17","Expressed"
"RE18093","msl-1","FBcl0213280","stage 10-17","Subcellular localization patterns"
"RE18093","msl-1","FBcl0213280","stage 10-17","Stage 10-17"
"RE18093","msl-1","FBcl0213280","stage 10-17","Localized"
"RE18093","msl-1","FBcl0213280","stage 10-17","Small Foci in ectoderm"
"RE18093","msl-1","FBcl0213280","stage 10-17","Small Foci in head"
"RE18093","msl-1","FBcl0213280","stage 10-17","Small Foci in hindgut"
"RE18093","msl-1","FBcl0213280","stage 10-17","Small Foci in Brain"
"RE18093","msl-1","FBcl0213280","stage 10-17","Small Foci"
"RE18093","msl-1","FBcl0213280","stage 10-17","Foci"
"RE18093","msl-1","FBcl0213280","stage 10-17","Head"
"RE18093","msl-1","FBcl0213280","stage 10-17","Hindgut"
"RE18252","CG5953","FBcl0218686","","Annotated by Ronit"
"RE18236","term","FBcl0192249","","Annotated by Ronit"
"RE18236","term","FBcl0192249","stage 1-3","Nuclei associated localization"
"RE18236","term","FBcl0192249","stage 1-3","Cell division apparatus"
"RE18236","term","FBcl0192249","stage 1-3","Localized"
"RE18236","term","FBcl0192249","stage 1-3","Zygotic"
"RE18236","term","FBcl0192249","stage 1-3","Subset yolk nuclei"
"RE18236","term","FBcl0192249","stage 1-3","Zygotic starting stage 3"
"RE18236","term","FBcl0192249","stage 1-3","Intranuclear accumulation"
"RE18236","term","FBcl0192249","stage 1-3","Random yolk nuclei"
"RE18236","term","FBcl0192249","stage 1-3","Weak expression (>41ms exp)"
"RE18236","term","FBcl0192249","stage 1-3","Subcellular localization patterns"
"RE18236","term","FBcl0192249","stage 1-3","Accumulation nuclear subregion"
"RE18236","term","FBcl0192249","stage 1-3","Other cell division pattern"
"RE18236","term","FBcl0192249","stage 1-3","Stage 1-3"
"RE18236","term","FBcl0192249","stage 1-3","Expressed"
