set_name	n_genes	category
expr_accessory_gland_enriched	3102	expression
expr_carcass_enriched	1003	expression
expr_carcass_high	3442	expression
expr_cns_enriched	1952	expression
expr_cns_high	4946	expression
expr_digestive_enriched	1335	expression
expr_digestive_high	3976	expression
expr_embryo_early_enriched	1740	expression
expr_embryo_late_enriched	1157	expression
expr_embryo_mid_enriched	1824	expression
expr_fat_body_enriched	553	expression
expr_fat_body_high	2210	expression
expr_head_enriched	1315	expression
expr_head_high	3765	expression
expr_larva_enriched	1229	expression
expr_low	2671	expression
expr_maternal	2066	expression
expr_ovary_enriched	2045	expression
expr_ovary_specific	2070	expression
expr_salivary_enriched	401	expression
expr_salivary_high	1967	expression
expr_testis_enriched	4331	expression
expr_testis_specific	3345	expression
flyfish_any	1574	flyfish
flyfish_apical	477	flyfish
flyfish_basal	236	flyfish
flyfish_blastoderm_nuclei	449	flyfish
flyfish_cytoplasmic_foci	449	flyfish
flyfish_ectoderm	205	flyfish
flyfish_localized	877	flyfish
flyfish_maternal	1088	flyfish
flyfish_membrane	36	flyfish
flyfish_mesoderm	105	flyfish
flyfish_nervous_system	333	flyfish
flyfish_perinuclear	223	flyfish
flyfish_pole_cell	128	flyfish
flyfish_posterior	57	flyfish
flyfish_ubiquitous	1054	flyfish
flyfish_yolk_plasm	241	flyfish
flyfish_zygotic	624	flyfish
go_apoptosis	65	go
go_cell_cycle	155	go
go_centrosome	133	go
go_chromatin	127	go
go_cytoplasm	2793	go
go_dna_binding	840	go
go_dna_repair	123	go
go_er	560	go
go_golgi	249	go
go_helicase	30	go
go_kinase	259	go
go_membrane	2252	go
go_mitochondria	895	go
go_nucleus	2532	go
go_phosphatase	79	go
go_protease	53	go
go_ribosome	249	go
go_rna_binding	556	go
go_rna_processing	180	go
go_signaling	212	go
go_transcription	723	go
go_translation	572	go
go_transport	31	go
