fbgn	protein_id	total_length	disorder_fraction	max_disordered_region	n_disordered_residues	mean_score
FBgn0031081	FBpp0070000	786	0.5013	51	394	0.4050
FBgn0031085	FBpp0070001	210	0.3238	63	68	0.3305
FBgn0062565	FBpp0070002	387	0.0724	9	28	0.2879
FBgn0031088	FBpp0290784	740	0.6797	203	503	0.4445
FBgn0041626	FBpp0070028	387	0.0724	9	28	0.2890
FBgn0040784	FBpp0290787	97	0.7526	55	73	0.5379
FBgn0031086	FBpp0070031	260	0.6000	46	156	0.4410
FBgn0031082	FBpp0070034	287	0.4808	78	138	0.3998
FBgn0031080	FBpp0070035	155	0.2774	32	43	0.3013
FBgn0053217	FBpp0070044	699	0.5150	151	360	0.3993
FBgn0052350	FBpp0070045	830	0.4301	51	357	0.3784
FBgn0024733	FBpp0289147	218	0.5459	71	119	0.4237
FBgn0040372	FBpp0305207	1657	0.6162	113	1021	0.4409
FBgn0000316	FBpp0070063	601	0.3311	32	199	0.3654
FBgn0024989	FBpp0070065	879	0.8658	118	761	0.4986
FBgn0040371	FBpp0070068	195	0.3641	53	71	0.3575
FBgn0029521	FBpp0070069	392	0.1607	14	63	0.2969
FBgn0004034	FBpp0070070	541	0.4399	64	238	0.3854
FBgn0000022	FBpp0070071	201	0.7910	104	159	0.4806
FBgn0004170	FBpp0070072	345	0.8261	87	285	0.4910
FBgn0002561	FBpp0070073	257	0.9183	111	236	0.4938
FBgn0000137	FBpp0070074	486	0.7572	112	368	0.4820
FBgn0029522	FBpp0111860	177	0.6328	56	112	0.4342
FBgn0052817	FBpp0070076	121	0.3223	15	39	0.3509
FBgn0029524	FBpp0070077	121	0.4298	23	52	0.3679
FBgn0023536	FBpp0070078	692	0.2731	28	189	0.3351
FBgn0023534	FBpp0070079	127	0.7795	91	99	0.4712
FBgn0023535	FBpp0070083	351	0.3390	33	119	0.3591
FBgn0023537	FBpp0070087	520	0.3058	53	159	0.3507
FBgn0029525	FBpp0070089	1377	0.4074	65	561	0.3883
FBgn0010019	FBpp0070094	556	0.2950	41	164	0.3599
FBgn0011822	FBpp0070095	407	0.2506	45	102	0.3394
FBgn0052816	FBpp0070096	378	0.7937	97	300	0.4770
FBgn0040370	FBpp0070098	306	0.6242	48	191	0.4223
FBgn0040373	FBpp0070103	388	0.3737	35	145	0.3772
FBgn0000108	FBpp0298292	890	0.6270	99	558	0.4290
FBgn0025640	FBpp0070110	304	0.1283	16	39	0.3215
FBgn0025635	FBpp0070111	467	0.5482	51	256	0.4239
FBgn0001341	FBpp0070114	1133	0.4960	69	562	0.4137
FBgn0003575	FBpp0070115	1325	0.6347	103	841	0.4622
FBgn0025634	FBpp0070116	408	0.6887	148	281	0.4712
FBgn0025638	FBpp0300874	136	0.5515	53	75	0.4059
FBgn0040383	FBpp0070129	306	0.2190	21	67	0.3220
FBgn0040382	FBpp0070130	469	0.4733	68	222	0.3836
FBgn0027343	FBpp0111841	646	0.4009	32	259	0.3624
FBgn0025621	FBpp0428122	1045	0.3196	74	334	0.3598
FBgn0029535	FBpp0070137	119	0.8739	84	104	0.4684
FBgn0026874	FBpp0288637	301	0.5017	53	151	0.4126
FBgn0025616	FBpp0070140	493	0.6450	153	318	0.4455
FBgn0015799	FBpp0070141	845	0.5172	71	437	0.3947
FBgn0025620	FBpp0070142	421	0.4133	37	174	0.3789
FBgn0015288	FBpp0070143	299	0.5217	46	156	0.4087
FBgn0029532	FBpp0070144	478	0.8138	99	389	0.4994
FBgn0029531	FBpp0070145	322	0.7826	131	252	0.5135
FBgn0025639	FBpp0070146	1300	0.6515	126	847	0.4749
FBgn0002579	FBpp0070150	115	0.8522	52	98	0.4750
FBgn0026879	FBpp0070154	64	0.8906	46	57	0.5185
FBgn0029529	FBpp0070155	114	0.5526	23	63	0.3923
FBgn0025633	FBpp0110088	1094	0.8245	171	902	0.4876
FBgn0040892	FBpp0110101	93	0.8065	30	75	0.4468
FBgn0040341	FBpp0070158	254	0.2205	19	56	0.3199
FBgn0029539	FBpp0070159	152	0.8026	71	122	0.5436
FBgn0040339	FBpp0070160	143	0.6364	31	91	0.4378
FBgn0052815	FBpp0298010	382	0.6780	91	259	0.4479
FBgn0040340	FBpp0070162	368	0.3370	59	124	0.3306
FBgn0040347	FBpp0070165	426	0.4977	63	212	0.4149
FBgn0042146	FBpp0070166	106	0.2642	23	28	0.3577
FBgn0029552	FBpp0070167	132	0.7424	33	98	0.4771
FBgn0040337	FBpp0070168	389	0.3111	24	121	0.3593
FBgn0040398	FBpp0070172	319	0.4451	46	142	0.3640
FBgn0040365	FBpp0070173	141	0.3191	20	45	0.3664
FBgn0040397	FBpp0303757	596	0.5084	38	303	0.3889
FBgn0026143	FBpp0070175	575	0.2713	77	156	0.3537
FBgn0040351	FBpp0070176	387	0.6951	98	269	0.4782
FBgn0040338	FBpp0070177	107	0.3925	18	42	0.3828
FBgn0040350	FBpp0070178	558	0.2688	46	150	0.3015
FBgn0040349	FBpp0070179	251	0.0837	6	21	0.2961
FBgn0040348	FBpp0070180	711	0.5148	58	366	0.4098
FBgn0040346	FBpp0070181	382	0.4005	50	153	0.3978
FBgn0040342	FBpp0070182	444	0.4032	41	179	0.3705
FBgn0040345	FBpp0303733	362	0.5166	46	187	0.4143
FBgn0040343	FBpp0070188	83	0.3494	20	29	0.3393
FBgn0052814	FBpp0307669	244	0.8648	146	211	0.5566
FBgn0040364	FBpp0070190	312	0.4455	39	139	0.3706
FBgn0040362	FBpp0070191	201	0.2388	21	48	0.2893
FBgn0040361	FBpp0070192	270	0.4889	50	132	0.4122
FBgn0040360	FBpp0070193	342	0.7018	82	240	0.4478
FBgn0040359	FBpp0070194	569	0.8102	145	461	0.5057
FBgn0040358	FBpp0070195	756	0.8373	222	633	0.5049
FBgn0029568	FBpp0070196	436	0.8486	227	370	0.5120
FBgn0040357	FBpp0070197	230	0.7261	67	167	0.4694
FBgn0040367	FBpp0070198	505	0.4733	31	239	0.3886
FBgn0025642	FBpp0070199	225	0.5733	37	129	0.4178
FBgn0004650	FBpp0070200	2118	0.4315	118	914	0.3872
FBgn0024362	FBpp0070202	377	0.6154	83	232	0.4649
FBgn0024361	FBpp0070204	244	0.1025	12	25	0.2682
FBgn0024364	FBpp0070205	771	0.8768	151	676	0.5224
FBgn0029573	FBpp0070206	151	0.6887	62	104	0.4269
FBgn0024987	FBpp0308820	485	0.6309	78	306	0.4382
FBgn0023169	FBpp0070208	582	0.3643	32	212	0.3650
FBgn0052813	FBpp0428179	699	0.5479	56	383	0.4236
FBgn0024985	FBpp0304571	486	0.7099	99	345	0.4432
FBgn0027794	FBpp0070221	1072	0.3209	28	344	0.3667
FBgn0027795	FBpp0070222	470	0.3511	39	165	0.3843
FBgn0024986	FBpp0070224	160	0.2750	16	44	0.3523
FBgn0000826	FBpp0070225	291	0.1649	27	48	0.3281
FBgn0024365	FBpp0070226	712	0.2851	51	203	0.3066
FBgn0024360	FBpp0070227	612	0.4853	70	297	0.3979
FBgn0024366	FBpp0070228	1279	0.7983	136	1021	0.4879
FBgn0025641	FBpp0292356	1463	0.5913	104	865	0.4282
FBgn0052811	FBpp0292011	77	0.8052	29	62	0.4475
FBgn0028550	FBpp0303417	688	0.7006	192	482	0.4757
FBgn0026876	FBpp0070235	861	0.5041	81	434	0.4143
FBgn0040366	FBpp0070240	329	0.6687	71	220	0.4408
FBgn0040363	FBpp0070241	588	0.4626	41	272	0.3939
FBgn0040368	FBpp0070242	429	0.6713	157	288	0.4891
FBgn0026872	FBpp0070243	196	0.2704	14	53	0.3321
FBgn0029580	FBpp0070244	186	0.1344	15	25	0.3115
FBgn0025383	FBpp0070247	302	0.2483	24	75	0.3177
FBgn0025381	FBpp0070249	316	0.6329	74	200	0.4181
FBgn0025394	FBpp0070250	211	0.5877	34	124	0.4229
FBgn0000482	FBpp0070259	1002	0.4561	45	457	0.3865
FBgn0001189	FBpp0070260	611	0.6563	60	401	0.4223
FBgn0029587	FBpp0300639	221	0.6199	48	137	0.4300
FBgn0024897	FBpp0070262	558	0.5054	45	282	0.3895
FBgn0025391	FBpp0070267	404	0.4010	43	162	0.3741
FBgn0025378	FBpp0070268	305	0.2689	28	82	0.3382
FBgn0023130	FBpp0070269	409	0.5672	71	232	0.4147
FBgn0023530	FBpp0070273	140	0.0429	4	6	0.2644
FBgn0025390	FBpp0070274	1795	0.8669	695	1556	0.5571
FBgn0025393	FBpp0070275	116	0.6207	42	72	0.3869
FBgn0003517	FBpp0070277	270	0.4333	28	117	0.3826
FBgn0025382	FBpp0070280	236	0.4449	28	105	0.3932
FBgn0052808	FBpp0070282	284	0.2711	22	77	0.3437
FBgn0027791	FBpp0070283	490	0.3592	22	176	0.3653
FBgn0027793	FBpp0070285	260	0.3923	28	102	0.3550
FBgn0052806	FBpp0070288	205	0.6439	42	132	0.4049
FBgn0026873	FBpp0070295	217	0.4194	14	91	0.3826
FBgn0023513	FBpp0070297	1102	0.2332	26	257	0.3436
FBgn0014411	FBpp0070298	478	0.4770	45	228	0.4131
FBgn0023514	FBpp0070299	506	0.4170	71	211	0.3888
FBgn0029594	FBpp0070300	176	0.6477	64	114	0.4237
FBgn0023519	FBpp0070301	243	0.4938	48	120	0.4246
FBgn0023509	FBpp0070302	986	0.7059	185	696	0.4586
FBgn0023510	FBpp0070303	1525	0.3659	48	558	0.3687
FBgn0023508	FBpp0070304	850	0.4824	78	410	0.4009
FBgn0023522	FBpp0070305	456	0.4561	92	208	0.4065
FBgn0023521	FBpp0070308	299	0.6923	70	207	0.4359
FBgn0025627	FBpp0070314	264	0.5833	35	154	0.4196
FBgn0025630	FBpp0070316	361	0.2438	24	88	0.3428
FBgn0025629	FBpp0070317	256	0.4453	49	114	0.3881
FBgn0029596	FBpp0070324	205	0.4780	31	98	0.3831
FBgn0025626	FBpp0070325	696	0.7874	131	548	0.4800
FBgn0025625	FBpp0070326	1398	0.5966	211	834	0.4287
FBgn0025631	FBpp0070327	670	0.4716	82	316	0.3757
FBgn0026878	FBpp0070328	158	0.5759	44	91	0.4419
FBgn0000667	FBpp0070331	917	0.5900	139	541	0.4230
FBgn0003964	FBpp0070332	508	0.4528	59	230	0.3889
FBgn0023545	FBpp0070333	355	0.3662	21	130	0.3613
FBgn0023520	FBpp0070335	487	0.4641	63	226	0.4100
FBgn0023512	FBpp0070336	669	0.2601	23	174	0.3476
FBgn0023511	FBpp0304832	1004	0.4532	71	455	0.3998
FBgn0052801	FBpp0070340	158	0.6519	45	103	0.4466
FBgn0023518	FBpp0070347	2431	0.6010	114	1461	0.4345
FBgn0026088	FBpp0070348	96	0.7708	45	74	0.4815
FBgn0026089	FBpp0070349	106	0.8208	48	87	0.4626
FBgn0023517	FBpp0070350	289	0.5156	36	149	0.4092
FBgn0023516	FBpp0070351	614	0.5261	84	323	0.4078
FBgn0023515	FBpp0070353	1052	0.8470	134	891	0.4905
FBgn0028969	FBpp0070355	532	0.3797	43	202	0.3840
FBgn0026090	FBpp0070356	100	0.2500	15	25	0.3626
FBgn0029590	FBpp0301697	237	0.9072	106	215	0.5125
FBgn0025624	FBpp0070359	246	0.0650	6	16	0.2512
FBgn0040395	FBpp0070360	474	0.5338	51	253	0.4101
FBgn0000382	FBpp0070363	945	0.6741	95	637	0.4607
FBgn0023507	FBpp0070365	533	0.2570	23	137	0.3458
FBgn0004654	FBpp0070368	481	0.1871	21	90	0.3213
FBgn0023540	FBpp0070369	371	0.6469	62	240	0.4497
FBgn0025839	FBpp0070370	103	0.6990	30	72	0.4246
FBgn0011576	FBpp0070371	501	0.4012	52	201	0.3788
FBgn0015036	FBpp0070372	496	0.2278	23	113	0.3327
FBgn0003116	FBpp0070373	405	0.2765	25	112	0.3484
FBgn0040899	FBpp0070374	70	0.5429	19	38	0.3550
FBgn0040900	FBpp0288524	110	0.2000	22	22	0.2655
FBgn0024984	FBpp0070376	192	0.8177	65	157	0.4833
FBgn0023549	FBpp0070377	626	0.3690	71	231	0.3230
FBgn0029606	FBpp0304654	163	0.5521	32	90	0.3872
FBgn0003048	FBpp0309618	3417	0.4557	137	1557	0.3812
FBgn0000810	FBpp0070380	463	0.9482	243	439	0.5509
FBgn0023523	FBpp0070381	397	0.1662	26	66	0.3131
FBgn0023527	FBpp0070382	535	0.3065	38	164	0.3592
FBgn0040391	FBpp0070383	491	0.3666	58	180	0.3900
FBgn0003079	FBpp0070385	739	0.5778	103	427	0.4326
FBgn0003159	FBpp0310194	1239	0.8983	266	1113	0.5158
FBgn0040389	FBpp0070389	161	0.3602	24	58	0.3737
FBgn0044047	FBpp0070390	107	0.3645	18	39	0.3364
FBgn0040392	FBpp0070391	259	0.8610	72	223	0.4683
FBgn0023526	FBpp0070392	434	0.6382	173	277	0.4393
FBgn0023529	FBpp0070395	923	0.5547	101	512	0.4231
FBgn0023528	FBpp0070396	397	0.6776	73	269	0.4266
FBgn0027296	FBpp0070398	398	0.3693	29	147	0.3851
FBgn0023524	FBpp0423191	765	0.3582	118	274	0.3338
FBgn0023525	FBpp0070401	309	0.4531	54	140	0.4093
FBgn0000377	FBpp0070402	702	0.6296	135	442	0.4328
FBgn0001330	FBpp0070403	1192	0.5419	73	646	0.4094
FBgn0004397	FBpp0070404	961	0.5630	71	541	0.4156
FBgn0023550	FBpp0070407	504	0.2163	22	109	0.3290
FBgn0029603	FBpp0070408	230	0.5217	38	120	0.4116
FBgn0023542	FBpp0070409	521	0.3800	30	198	0.3738
FBgn0023541	FBpp0301778	510	0.3078	26	157	0.3551
FBgn0005670	FBpp0070412	512	0.3340	25	171	0.3603
